species,age,length
Plaice,7,43
Plaice,13,50
Plaice,14,51
Plaice,2,33
Plaice,3,36
Plaice,15,54
Plaice,16,53
Plaice,17,50
Plaice,6,40
Plaice,4,38
Plaice,11,48
Plaice,10,46
Plaice,5,39
Plaice,8,42
Plaice,9,44
Plaice,12,48
Sole,22,47
Sole,4,34
Sole,6,42
Sole,3,34
Sole,30,43
Sole,11,43
Sole,8,41
Sole,15,44
Sole,29,47
Sole,10,42
Sole,28,45
Sole,7,39
Sole,13,43
Sole,16,45
Sole,27,47
Sole,12,42
Sole,26,48
Sole,24,46
Sole,14,43
Sole,5,37
Sole,21,46
Sole,20,46
Sole,23,47
Sole,17,46
Sole,25,44
Sole,19,45
Sole,35,50
Sole,33,52
Sole,9,42
Sole,2,25
Sole,32,49
Sole,38,49
Sole,18,45
Whiting,5,40
Whiting,4,48
Whiting,6,47
Whiting,3,43
Whiting,2,38
Cod,2,57
Cod,5,82
Cod,4,79
Cod,3,68
Haddock,2,45
Haddock,9,64
Haddock,8,66
Haddock,7,65
Haddock,6,68
Haddock,5,58
Haddock,4,56
Haddock,3,50
Cod,2,46
Cod,1,36
Cod,3,54
Cod,4,62
Haddock,2,31
Haddock,5,38
Haddock,3,36
Haddock,4,38
Haddock,6,43
Mackerel,12,39
Mackerel,2,34
Mackerel,1,32
Mackerel,0,38
Mackerel,3,34
Mackerel,5,37
Mackerel,4,34
Mackerel,6,36
Mackerel,7,37
Mackerel,8,36
Mackerel,9,39
Mackerel,10,37
Mackerel,11,39
Mackerel,13,41
Plaice,4,31
Plaice,1,30
Plaice,7,31
Plaice,5,31
Plaice,6,31
Plaice,8,31
Plaice,11,31
Plaice,12,31
Plaice,16,33
Plaice,17,32
Plaice,19,37
Plaice,13,31
Plaice,14,31
Plaice,15,34
Plaice,2,31
Plaice,3,31
Plaice,9,31
Plaice,10,31
Sole,25,39
Sole,10,39
Sole,11,39
Sole,17,39
Sole,18,39
Sole,16,39
Sole,15,39
Sole,14,39
Sole,13,39
Sole,12,39
Sole,19,39
Sole,4,31
Sole,6,35
Sole,2,25
Sole,3,30
Sole,5,33
Sole,7,31
Sole,8,37
Sole,9,36
Sole,21,39
Sole,30,39
Sole,22,39
Sole,29,39
Sole,23,39
Sole,26,39
Sole,24,39
Sole,36,39
Sole,20,39
Whiting,4,31
Whiting,8,34
Whiting,2,29
Whiting,7,35
Whiting,5,34
Whiting,6,32
Whiting,3,34
Sole,3,28
Sole,9,34
Sole,10,35
Sole,7,31
Sole,6,34
Sole,8,35
Sole,5,29
Sole,2,24
Sole,4,28
Sole,3,28
Sole,2,24
Sole,5,28
Sole,4,28
Sole,7,25
Sole,9,34
Sole,7,31
Sole,3,28
Sole,2,25
Sole,5,31
Sole,4,29
Sole,6,34
Sole,8,34
Plaice,1,30
Plaice,4,36
Plaice,3,36
Plaice,5,36
Plaice,17,36
Plaice,16,40
Plaice,6,36
Plaice,15,37
Plaice,2,32
Plaice,14,42
Plaice,13,38
Plaice,11,37
Plaice,10,37
Plaice,8,37
Plaice,9,36
Plaice,12,39
Plaice,7,36
Sole,14,37
Sole,5,35
Sole,3,34
Sole,4,34
Sole,9,37
Sole,13,37
Sole,12,37
Sole,7,37
Sole,18,41
Sole,19,33
Sole,10,37
Sole,17,37
Sole,16,37
Sole,6,35
Sole,20,33
Sole,8,37
Sole,15,41
Sole,2,28
Sole,11,37
Plaice,17,36
Plaice,2,35
Plaice,13,39
Plaice,12,38
Plaice,1,33
Plaice,11,38
Plaice,14,42
Plaice,9,38
Plaice,5,38
Plaice,10,38
Plaice,15,37
Plaice,7,38
Plaice,4,37
Plaice,6,38
Plaice,8,38
Plaice,16,40
Plaice,3,37
Plaice,14,43
Plaice,15,37
Plaice,1,30
Plaice,17,36
Plaice,13,39
Plaice,6,38
Plaice,11,39
Plaice,5,37
Plaice,16,40
Plaice,2,33
Plaice,3,36
Plaice,12,39
Plaice,9,38
Plaice,10,38
Plaice,4,36
Plaice,8,38
Plaice,7,37
Sole,7,36
Sole,13,34
Sole,8,36
Sole,9,33
Sole,2,29
Sole,6,35
Sole,4,31
Sole,10,37
Sole,5,32
Sole,12,38
Sole,11,31
Sole,3,29
Sole,17,37
Sole,14,38
Plaice,9,41
Plaice,11,41
Plaice,7,41
Plaice,14,46
Plaice,12,43
Plaice,13,44
Plaice,8,41
Plaice,18,50
Plaice,15,47
Plaice,4,40
Plaice,16,50
Plaice,5,41
Plaice,20,51
Plaice,6,41
Plaice,19,37
Plaice,21,51
Plaice,27,52
Plaice,10,41
Plaice,3,39
Plaice,17,50
Plaice,2,36
Plaice,1,32
Mackerel,7,34
Mackerel,5,36
Mackerel,1,28
Mackerel,4,34
Mackerel,2,30
Mackerel,3,32
Mackerel,8,34
Mackerel,6,35
Plaice,16,48
Plaice,8,39
Plaice,12,42
Plaice,17,48
Plaice,1,28
Plaice,3,35
Plaice,9,39
Plaice,11,39
Plaice,6,38
Plaice,5,38
Plaice,7,38
Plaice,13,43
Plaice,10,40
Plaice,15,45
Plaice,19,37
Plaice,18,50
Plaice,20,50
Plaice,4,37
Plaice,14,45
Plaice,2,33
Sole,13,39
Sole,8,38
Sole,10,38
Sole,12,39
Sole,4,29
Sole,14,39
Sole,17,37
Sole,7,37
Sole,3,29
Sole,21,37
Sole,5,32
Sole,2,29
Sole,9,33
Sole,6,34
Sole,11,36
Plaice,8,38
Plaice,9,38
Plaice,20,52
Plaice,10,40
Plaice,13,43
Plaice,11,38
Plaice,7,38
Plaice,27,52
Plaice,12,41
Plaice,16,50
Plaice,4,36
Plaice,3,35
Plaice,5,37
Plaice,17,50
Plaice,14,44
Plaice,15,45
Plaice,19,37
Plaice,2,33
Plaice,1,28
Plaice,6,37
Sole,21,43
Sole,23,47
Sole,24,47
Sole,25,47
Sole,38,47
Sole,2,27
Sole,6,37
Sole,20,47
Sole,22,47
Sole,31,47
Sole,7,39
Sole,8,40
Sole,3,29
Sole,4,30
Sole,5,32
Sole,19,47
Sole,18,47
Sole,29,47
Sole,30,47
Sole,26,47
Sole,28,47
Sole,17,42
Sole,9,42
Sole,16,47
Sole,10,41
Sole,13,41
Sole,15,47
Sole,11,40
Sole,27,47
Sole,12,40
Sole,14,42
Whiting,5,43
Whiting,2,34
Whiting,1,31
Whiting,3,39
Whiting,4,40
Whiting,7,41
Plaice,8,44
Plaice,13,48
Plaice,10,45
Plaice,17,54
Plaice,12,47
Plaice,4,38
Plaice,25,56
Plaice,16,53
Plaice,9,44
Plaice,11,44
Plaice,1,28
Plaice,26,58
Plaice,6,41
Plaice,18,53
Plaice,15,52
Plaice,3,35
Plaice,2,33
Plaice,21,56
Plaice,27,52
Plaice,20,53
Plaice,7,43
Plaice,14,52
Plaice,19,53
Plaice,22,56
Plaice,5,40
Sole,16,49
Sole,9,42
Sole,6,38
Sole,29,47
Sole,26,49
Sole,18,49
Sole,5,32
Sole,2,27
Sole,28,49
Sole,22,49
Sole,24,49
Sole,4,30
Sole,23,49
Sole,14,45
Sole,25,49
Sole,17,45
Sole,20,49
Sole,8,40
Sole,12,43
Sole,10,44
Sole,21,46
Sole,38,47
Sole,19,49
Sole,15,49
Sole,3,29
Sole,13,44
Sole,36,50
Sole,27,49
Sole,11,43
Sole,7,39
Sole,30,48
Sole,31,50
Sole,32,50
Mackerel,1,29
Mackerel,2,30
Mackerel,4,30
Mackerel,5,34
Mackerel,6,35
Mackerel,7,27
Mackerel,3,30
Sole,20,39
Sole,14,39
Sole,8,38
Sole,31,43
Sole,27,43
Sole,4,34
Sole,7,36
Sole,9,39
Sole,18,39
Sole,3,28
Sole,17,39
Sole,2,24
Sole,6,37
Sole,12,40
Sole,10,39
Sole,19,41
Sole,15,39
Sole,16,41
Sole,22,41
Sole,13,39
Sole,21,41
Sole,5,35
Sole,11,39
